epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2357,0.80568,0.83615,0.86083,0.6457,0.69139,0.7132,0.55248,0.97567,1.91125,0.88839,0.000220216,0.000220216,0.000220216
2,58.3011,0.81517,0.86366,0.86587,0.67538,0.6841,0.70587,0.53715,0.9742,1.881,0.88892,0.000436708,0.000436708,0.000436708
3,86.4699,0.83896,0.94536,0.86935,0.69071,0.63931,0.69756,0.52471,0.99291,1.74202,0.89421,0.00064733,0.00064733,0.00064733
4,114.528,0.86381,0.97777,0.87102,0.6517,0.68472,0.71759,0.53543,0.9821,1.70259,0.89412,0.000640587,0.000640587,0.000640587
5,142.639,0.85091,0.98169,0.87035,0.58617,0.72603,0.7169,0.53908,0.99389,1.74635,0.89722,0.000631782,0.000631782,0.000631782
6,170.774,0.84532,0.9769,0.87494,0.47827,0.79049,0.69667,0.52643,0.99047,1.76194,0.89804,0.000622978,0.000622978,0.000622978
7,198.914,0.86055,0.98859,0.87281,0.6873,0.52116,0.70194,0.53568,0.98011,1.66762,0.89611,0.000614174,0.000614174,0.000614174
8,227.112,0.85435,0.98284,0.87493,0.69589,0.67977,0.74496,0.56174,0.99362,1.78395,0.90245,0.000605369,0.000605369,0.000605369
9,255.37,0.85694,1.00407,0.87474,0.68151,0.64343,0.71556,0.53898,1.01148,1.71727,0.90292,0.000596565,0.000596565,0.000596565
10,283.643,0.85769,0.95803,0.87402,0.69341,0.66299,0.73309,0.55343,0.99645,1.73233,0.89852,0.00058776,0.00058776,0.00058776
11,311.831,0.84368,0.9707,0.87287,0.60673,0.67678,0.69249,0.52515,0.99607,1.74249,0.8951,0.000578956,0.000578956,0.000578956
12,340.113,0.84875,0.95234,0.8731,0.64255,0.69327,0.71643,0.54149,1.00052,1.82083,0.89733,0.000570152,0.000570152,0.000570152
13,368.326,0.83816,0.94121,0.87051,0.71986,0.62263,0.72245,0.54423,0.98273,1.63734,0.8936,0.000561347,0.000561347,0.000561347
14,396.514,0.84036,0.9382,0.86788,0.68545,0.6755,0.71838,0.54765,0.98503,1.79505,0.89362,0.000552543,0.000552543,0.000552543
15,424.777,0.84317,0.93052,0.86999,0.67725,0.66799,0.73145,0.54761,0.98486,1.73563,0.89264,0.000543738,0.000543738,0.000543738
16,453.038,0.83567,0.92187,0.8669,0.70397,0.65221,0.73581,0.54469,0.99004,1.78277,0.89368,0.000534934,0.000534934,0.000534934
17,481.274,0.83813,0.9363,0.8696,0.75803,0.64,0.73506,0.5635,0.97349,1.673,0.88882,0.00052613,0.00052613,0.00052613
18,509.658,0.83312,0.89405,0.87108,0.76569,0.61309,0.72913,0.56019,0.98037,1.75728,0.89394,0.000517325,0.000517325,0.000517325
19,537.95,0.84085,0.91556,0.86919,0.73252,0.62586,0.7051,0.5436,0.98459,1.8216,0.89039,0.000508521,0.000508521,0.000508521
20,566.221,0.82869,0.89648,0.86706,0.64159,0.69638,0.72416,0.55687,0.98195,1.82751,0.89214,0.000499716,0.000499716,0.000499716
21,594.528,0.82712,0.90664,0.86646,0.71502,0.63611,0.74126,0.56925,0.98282,1.7088,0.89405,0.000490912,0.000490912,0.000490912
22,622.873,0.82659,0.89158,0.86647,0.74632,0.64247,0.74221,0.56372,0.97446,1.76721,0.89222,0.000482108,0.000482108,0.000482108
23,651.197,0.81906,0.87682,0.86271,0.74013,0.62694,0.72105,0.5565,0.97835,1.72807,0.89262,0.000473303,0.000473303,0.000473303
24,679.475,0.81735,0.8736,0.86481,0.7172,0.62779,0.71175,0.54316,0.98178,1.9771,0.89553,0.000464499,0.000464499,0.000464499
